2026-01-29 20:26:39 | UfsPowerOff | code=0 | 578.088 ms
2026-01-29 20:26:40 | UfsPowerOn | code=0 | 682.343 ms
2026-01-29 20:26:41 | UfsCardInit | code=0 | 937.787 ms
2026-01-29 20:26:43 | VccOffForceRom | code=0 | 1874.92 ms
2026-01-29 20:26:43 | UfsMpStartMode | code=0 | 103.235 ms
2026-01-29 20:27:11 | UfsWrite1024KIspMp | code=0 | 28045.4 ms
2026-01-29 20:28:46 | UfsMpExit | code=1167 | 95155.8 ms
2026-01-29 20:48:31 | UfsPowerOff | code=0 | 578.137 ms
2026-01-29 20:48:31 | UfsPowerOn | code=0 | 682.404 ms
2026-01-29 20:48:32 | UfsCardInit | code=0 | 887.098 ms
2026-01-29 20:48:34 | VccOffForceRom | code=0 | 1875 ms
2026-01-29 20:48:34 | UfsMpStartMode | code=0 | 103.136 ms
2026-01-29 20:49:02 | UfsWrite1024KIspMp | code=0 | 28035.5 ms
2026-01-29 20:49:15 | UfsMpExit | code=0 | 13117.5 ms
2026-01-29 20:49:16 | UfsCardInit(2) | code=0 | 887.101 ms
2026-01-29 20:50:33 | UfsPowerOff | code=0 | 578.061 ms
2026-01-29 20:50:34 | UfsPowerOn | code=0 | 681.724 ms
2026-01-29 20:50:35 | UfsCardInit | code=0 | 939.21 ms
2026-01-29 20:50:37 | VccOffForceRom | code=0 | 1875.45 ms
2026-01-29 20:50:37 | UfsMpStartMode | code=0 | 102.471 ms
2026-01-29 20:51:05 | UfsWrite1024KIspMp | code=0 | 28023.1 ms
2026-01-29 20:52:14 | UfsMpExit | code=55 | 68491.9 ms
2026-01-29 20:55:37 | UfsPowerOff | code=0 | 578.04 ms
2026-01-29 20:55:38 | UfsPowerOn | code=0 | 733.826 ms
2026-01-29 20:55:39 | UfsCardInit | code=0 | 888.463 ms
2026-01-29 20:55:41 | VccOffForceRom | code=0 | 1875.46 ms
2026-01-29 20:55:41 | UfsMpStartMode | code=0 | 103.241 ms
2026-01-29 20:56:09 | UfsWrite1024KIspMp | code=0 | 28034.9 ms
2026-01-29 20:56:12 | UfsMpExit | code=0 | 3675.47 ms
2026-01-29 20:56:13 | UfsCardInit(2) | code=0 | 887.472 ms
2026-01-30 17:03:16 | UfsPowerOff | code=0 | 578.182 ms
2026-01-30 17:03:16 | UfsPowerOn | code=0 | 682.158 ms
2026-01-30 17:03:17 | UfsReadPortInfo | code=0 | 76.938 ms
2026-01-30 17:03:20 | UfsCardInit | code=0 | 886.777 ms
2026-01-30 17:03:22 | VccOffForceRom | code=0 | 1875.296 ms
2026-01-30 17:03:22 | UfsMpStartMode | code=0 | 103.404 ms
2026-01-30 17:03:50 | UfsWrite1024KIspMp | code=0 | 28181.309 ms
2026-01-30 17:03:50 | UfsMpExit | code=0 | 83.501 ms
2026-01-30 17:03:51 | UfsCardInit(2) | code=0 | 887.441 ms
